Date,Open,High,Low,Close,Volume,Adj Close
23-05-2014,2520,2777,2497.25,2753.5,8994700,2737.68
22-05-2014,2475,2538,2471,2511.65,2011600,2497.22
21-05-2014,2528,2530,2452,2459.3,2354200,2445.17
20-05-2014,2610.7,2615,2510.4,2526.65,2341900,2512.13
19-05-2014,2449,2594.8,2449,2568.1,3604400,2553.34
16-05-2014,2350,2507,2301,2417.2,7965300,2403.31
15-05-2014,2290,2303,2272.35,2279.25,2109300,2266.15
14-05-2014,2282,2315.85,2267.25,2282.55,2887000,2269.43
13-05-2014,2280,2324,2260.4,2276.1,3275600,2263.02
12-05-2014,2188,2264.8,2188,2242.7,2643600,2229.81
09-05-2014,2080,2185.2,2080,2173.25,2763500,2160.76
08-05-2014,2086.5,2104,2071.25,2091.75,1936300,2079.73
07-05-2014,2051.7,2085,2044,2075.8,1951900,2063.87
06-05-2014,2059.8,2063.75,2040.7,2052.2,984100,2040.41
05-05-2014,2054.5,2069.85,2035,2044.55,1317200,2032.8
02-05-2014,2095,2104.8,2040.1,2048.2,1544600,2036.43
01-05-2014,2078.6,2078.6,2078.6,2078.6,0,2066.66
30-04-2014,2069.95,2107.8,2053.9,2078.6,2211400,2066.66
29-04-2014,2119.75,2124.9,2060,2065.8,1651400,2053.93
28-04-2014,2080,2119,2071.45,2106.2,1688900,2094.1
25-04-2014,2060,2111.55,2042.9,2085.25,2265500,2073.27
24-04-2014,2065.2,2065.2,2065.2,2065.2,0,2053.33
23-04-2014,2045,2078,2040.85,2065.2,2326500,2053.33
22-04-2014,2074,2077,2040.2,2048.55,1836400,2036.78
21-04-2014,2022,2078.8,2022,2072.1,1887200,2060.19
18-04-2014,2017.3,2017.3,2017.3,2017.3,0,2005.71
17-04-2014,1967.15,2022,1962.75,2017.3,2151300,2005.71
16-04-2014,1966,1994.65,1950.1,1959.4,1937600,1948.14
15-04-2014,1995,2004.75,1947.65,1964.05,1686300,1952.76
14-04-2014,1994.15,1994.15,1994.15,1994.15,0,1982.69
11-04-2014,2015,2029.7,1984.4,1994.15,2089500,1982.69
10-04-2014,1995,2040,1990.2,2028.05,2879600,2016.4
09-04-2014,1930.05,1992,1930.05,1985,2663100,1973.59
08-04-2014,1922.4,1922.4,1922.4,1922.4,0,1911.35
07-04-2014,1909.7,1925.7,1898.4,1922.4,2263000,1911.35
04-04-2014,1899,1912.3,1870.15,1902.8,2080000,1891.87
03-04-2014,1934,1938,1883.6,1896.2,2042500,1885.3
02-04-2014,1920,1940,1887.8,1934.9,1920200,1923.78
01-04-2014,1928,1933.55,1867.5,1893.65,2227200,1882.77
31-03-2014,1915,1938.8,1885.2,1917.7,2592400,1906.68
28-03-2014,1856.5,1915.95,1856.5,1901.95,3329800,1891.02
27-03-2014,1780,1853.8,1780,1837,4858500,1826.44
26-03-2014,1754.15,1774,1741.55,1767.5,2027900,1757.34
25-03-2014,1732.8,1747.7,1728.1,1743.4,1678900,1733.38
24-03-2014,1710.95,1739.9,1710.95,1725.6,1649400,1715.68
21-03-2014,1698,1711.8,1689,1702.15,1690200,1692.37
20-03-2014,1706,1706,1672.5,1677.95,1405200,1668.31
19-03-2014,1710,1719.5,1696.55,1708.85,1779800,1699.03
18-03-2014,1655,1709,1655,1701.3,2919300,1691.52
17-03-2014,1654.15,1654.15,1654.15,1654.15,0,1644.64
14-03-2014,1636,1668.8,1634,1654.15,1704300,1644.64
13-03-2014,1650,1696,1642.9,1652.1,2930600,1642.61
12-03-2014,1659.3,1674,1637.5,1645.1,1720600,1635.65
11-03-2014,1690,1722.1,1666.05,1674.8,2562500,1665.18
10-03-2014,1644,1711,1640,1692.15,4418000,1667.51
07-03-2014,1584,1664.45,1582.3,1649.65,5152500,1625.63
06-03-2014,1583.5,1583.5,1562,1577.4,2260400,1554.43
05-03-2014,1560,1582,1540,1576.6,2500100,1553.64
04-03-2014,1518,1554.85,1515,1550.35,1724900,1527.78
03-03-2014,1530,1558.6,1515.1,1518.35,1617900,1496.24
28-02-2014,1529.2,1539.4,1518,1533.25,1310900,1510.93
27-02-2014,1520.4,1520.4,1520.4,1520.4,0,1498.26
26-02-2014,1510,1534.8,1505.3,1520.4,3176900,1498.26
25-02-2014,1517,1521,1499.1,1506,944500,1484.07
24-02-2014,1500.75,1517.4,1489.2,1510.5,1029500,1488.51
21-02-2014,1485,1505,1485,1502.1,943000,1480.23
20-02-2014,1497,1501.05,1476.35,1480.6,1036300,1459.04
19-02-2014,1499.9,1515,1498,1508.05,975300,1486.09
18-02-2014,1477,1509.8,1471.1,1500.95,1398100,1479.1
17-02-2014,1470,1484.9,1463.25,1473.6,1660100,1452.14
14-02-2014,1502.3,1514.8,1455.1,1475.1,4582300,1453.62
13-02-2014,1533,1535.8,1496.05,1500.55,1325100,1478.7
12-02-2014,1527.1,1540,1518.05,1532.5,1553900,1510.19
11-02-2014,1514.95,1527.5,1514.5,1519.7,711800,1497.57
10-02-2014,1530.35,1532.85,1507.3,1514.1,1049400,1492.05
07-02-2014,1520.05,1534.7,1503.5,1527.6,1820300,1505.36
06-02-2014,1522.1,1537.9,1493.45,1504.85,1611600,1482.94
05-02-2014,1518.9,1529.9,1501.1,1521.7,1322700,1499.54
04-02-2014,1474,1522,1466.8,1515.4,1800200,1493.34
03-02-2014,1525,1529,1485,1488.35,1415000,1466.68
31-01-2014,1530.5,1539,1513,1523.85,1317400,1501.66
30-01-2014,1555,1558,1510.05,1516.6,2095500,1494.52
29-01-2014,1613,1621.8,1570,1573.65,1759400,1550.74
28-01-2014,1603.05,1628,1578.25,1596.3,1829600,1573.06
27-01-2014,1597.9,1604,1583.05,1594.5,1568800,1571.28
24-01-2014,1649,1664.9,1618,1621.2,1661600,1597.59
23-01-2014,1639,1663,1636.15,1658.3,924100,1634.15
22-01-2014,1654,1657.95,1635.25,1646.85,982100,1622.87
21-01-2014,1653.9,1672.7,1646.2,1659.5,1235100,1635.34
20-01-2014,1621.55,1645.9,1616.65,1641.85,946800,1617.94
17-01-2014,1634.55,1644.5,1617,1621.55,1120700,1597.94
16-01-2014,1644.15,1651.75,1632.45,1636.2,724100,1612.38
15-01-2014,1632,1658,1632,1640.7,1362400,1616.81
14-01-2014,1635,1649,1623.35,1627.5,1019700,1603.8
13-01-2014,1610.15,1645.1,1610.15,1641.25,1556400,1617.35
10-01-2014,1639.55,1656,1600,1608.15,2047300,1584.74
09-01-2014,1653,1662.75,1630,1639.8,1479100,1615.92
08-01-2014,1664.25,1677.95,1651,1657.15,1424800,1633.02
07-01-2014,1692.9,1702,1655,1661.4,1735200,1637.21
06-01-2014,1721.9,1724,1682,1688.15,1390700,1663.57
03-01-2014,1727,1736,1711,1719.65,1375900,1694.61
02-01-2014,1765.9,1806,1732.2,1742.6,1945100,1717.23
01-01-2014,1772,1774.9,1761.25,1765.05,590400,1739.35
31-12-2013,1759.45,1773,1749.7,1766.5,1075300,1740.78
30-12-2013,1780.8,1788.7,1755.1,1764.6,1086100,1738.91
27-12-2013,1755,1781.4,1755,1770.1,1069500,1744.33
26-12-2013,1753,1771.7,1747,1753.45,1633200,1727.92
25-12-2013,1759.25,1759.25,1759.25,1759.25,0,1733.63
24-12-2013,1759.15,1772,1752,1759.25,1333900,1733.63
23-12-2013,1745,1772.8,1745,1758.45,1332000,1732.85
20-12-2013,1725,1758,1720.05,1751.2,1502300,1725.7
19-12-2013,1772.3,1778.4,1712.5,1731.05,1837300,1705.85
18-12-2013,1715,1778.9,1715,1763.4,2358100,1737.72
17-12-2013,1750.2,1755,1712.65,1718.3,1763200,1693.28
16-12-2013,1730.1,1761.9,1727.35,1732.1,1302100,1706.88
13-12-2013,1758,1770,1740.1,1743.6,1646200,1718.21
12-12-2013,1790,1798,1771.55,1777,1581700,1751.13
11-12-2013,1840,1842.95,1781.5,1796.55,2071000,1770.39
10-12-2013,1894.75,1898.6,1836.3,1843.3,1886400,1816.46
09-12-2013,1911,1924,1885.05,1890.85,1877500,1863.32
06-12-2013,1852,1867.1,1845.05,1859.55,1450000,1832.47
05-12-2013,1860,1882.65,1846.2,1855.95,2366200,1828.93
04-12-2013,1807,1834.75,1797,1817.35,1542600,1790.89
03-12-2013,1814.95,1829.8,1805.25,1813.5,1480600,1787.1
02-12-2013,1827,1853.5,1812.4,1822.15,1745900,1795.62
29-11-2013,1761,1827,1761,1819.45,2340100,1792.96
28-11-2013,1777,1790.65,1760.75,1763.6,1843200,1737.92
27-11-2013,1786,1798.7,1756.9,1763.7,1369100,1738.02
26-11-2013,1800,1819.5,1781,1785.25,1604800,1759.26
25-11-2013,1741.5,1811.6,1740.05,1806.65,2273500,1780.34
